Batch,BTC-USD,SOL-USD,DOGE-USD,SHIB-USD,AVAX-USD,ADA-USD,DOT-USD,ETH-USD
303,24122.96,43.99,,0.00001613,,,,1900.43
304,24122.97,43.99,,0.00001614,,,,1900.42
305,24124.36,43.99,,0.00001614,,,,1900.38
306,24124.37,43.99,,0.00001613,,,,1900.5
307,24124.77,43.99,,0.00001612,,,,1900.51
308,24122.99,44,,0.00001613,,,,1900.36
309,24125.31,43.99,,0.00001614,,,,1900.36
310,24125.31,43.99,,0.00001613,,,,1900.37
311,24123.02,43.99,,0.00001613,,,,1900.41
312,24123.12,44,,0.00001613,,,,1900.45
313,24123.1,44,,0.00001614,,,,1900.44
314,24123.09,44,,0.00001613,,,,1900.26
315,24123.07,44,,0.00001613,,,,1900.36
316,24123.02,43.99,,0.00001613,,,,1900.63
317,24123,43.99,,0.00001614,,,,1900.36
318,24122.99,43.99,,0.00001614,,,,1900.35
319,24122.97,43.98,,0.00001614,,,,1900.35
320,24122.96,43.98,,0.00001613,,,,1900.59
321,24122.13,43.98,,0.00001613,,,,1900.35
322,24124.54,43.98,,0.00001613,,,,1900.36
323,24124.58,43.99,,0.00001613,,,,1900.28
324,24122.29,43.99,,0.00001614,,,,1900.44
325,24122.17,44.01,,0.00001614,,,,1900.41
326,24122.15,43.99,,0.00001614,,,,1900.54
327,24122.13,43.98,,0.00001614,,,,1900.54
328,24122.18,43.98,,0.00001614,,,,1900.55
329,24121.52,43.98,,0.00001615,,,,1900.56
330,24121.52,43.98,,0.00001615,,,,1900.63
331,24120.78,43.98,,0.00001614,,,,1900.44
332,24120.26,43.99,,0.00001613,,,,1900.6
333,24120.25,43.99,,0.00001614,,,,1900.63
334,24120.88,43.98,,0.00001613,,,,1900.64
335,24120.88,43.98,,0.00001614,,,,1900.65
336,24120.89,43.98,,0.00001613,,,,1900.7
337,24120.91,43.97,,0.00001614,,,,1900.78
338,24120.88,43.97,,0.00001613,,,,1900.8
339,24120.88,43.98,,0.00001614,,,,1901.01
340,24121.44,44,,0.00001614,,,,1900.83
341,24123.67,43.98,,0.00001614,,,,1900.83
342,24123.67,44,,0.00001615,,,,1901.01
343,24123.67,43.99,,0.00001614,,,,1900.98
344,24123.92,43.99,,0.00001614,,,,1901.01
345,24122.29,43.99,,0.00001614,,,,1901.01
346,24122.28,43.99,,0.00001614,,,,1900.85
347,24122.28,43.99,,0.00001614,,,,1900.84
348,24122.25,43.99,,0.00001614,,,,1900.86
349,24121.74,43.99,,0.00001614,,,,1900.82
350,24121.72,44,,0.00001615,,,,1900.93
351,24121.67,44,,0.00001614,,,,1900.82
352,24120.93,43.99,,0.00001615,,,,1900.85
353,24120.41,43.97,,0.00001615,,,,1900.92
354,24120.41,43.97,,0.00001615,,,,1900.83
355,24120.41,43.97,,0.00001615,,,,1900.82
356,24119.07,43.97,,0.00001615,,,,1900.82
357,24119.03,43.98,,0.00001615,,,,1900.82
358,24119.66,43.98,,0.00001615,,,,1900.82
359,24119.66,,,0.00001615,,,,1900.82
360,24119.64,,,0.00001615,,,,1900.82
361,24119.46,,,0.00001615,,,,1900.83
362,24119.37,,,0.00001615,,,,1900.82
363,24119.37,,,0.00001615,,,,1900.82
364,24122.24,,,0.00001615,,,,1900.82
365,24122.25,,,0.00001615,,,,1900.82
366,24120.12,,,0.00001615,,,,1900.83
367,24122.24,,,0.00001615,,,,1900.99
368,24122.24,,,0.00001615,,,,1900.95
369,24119.9,,,0.00001615,,,,1900.96
370,24119.91,,,0.00001614,,,,1900.96
371,24121.96,,,0.00001614,,,,1901.16
372,24121.95,,,0.00001615,,,,1900.85
373,24119.91,,,0.00001615,,,,1901.12
374,24119.91,,,0.00001615,,,,1900.96
375,24121.85,,,0.00001615,,,,1901.03
376,24121.77,,,0.00001615,,,,1900.82
377,24119.93,,,0.00001615,,,,1900.82
378,24120.63,,,0.00001614,,,,1900.82
379,24120.63,,,0.00001615,,,,1901.17
380,24118.68,,,0.00001615,,,,1901.17
381,24118.68,,,0.00001615,,,,1901.17
382,24116.84,,,0.00001615,,,,1901.17
383,24116.85,,,0.00001615,,,,1901.17
384,24116.83,,,0.00001615,,,,1901.02
385,24115.99,,,0.00001615,,,,1901.01
386,24119.61,,,0.00001615,,,,1901.02
387,24116.79,,,0.00001615,,,,1901.03
388,24119.23,,,0.00001615,,,,1900.91
389,24119.26,,,0.00001615,,,,1900.92
390,24119.22,,,0.00001615,,,,1901.01
391,24120.13,,,0.00001614,,,,1901.02
392,24119.28,,,0.00001614,,,,1901.05
393,24119.2,,,0.00001613,,,,1901.07
394,24119.2,,,0.00001613,,,,1901.04
395,24118.23,,,0.00001613,,,,1901.03
396,24118.06,,,0.00001614,,,,1901.21
397,24119.2,,,0.00001614,,,,1901.25
398,24119.27,,,0.00001615,,,,1901.25
399,24118.23,,,0.00001615,,,,1901.15
400,24118.09,,,0.00001615,,,,1901.15
401,24118.26,,,0.00001614,,,,1901.14
402,24120.07,,,0.00001614,,,,1901.14
403,24118.44,,,0.00001615,,,,1901.26
404,24118.36,,,0.00001615,,,,1901.27
405,24118.29,,,0.00001614,,,,1901.27
406,24119.42,,,0.00001615,,,,1901.31
407,24118.46,,,0.00001614,,,,1901.34
408,24118.45,,,0.00001615,,,,1901.28
409,24119.58,,,0.00001615,,,,1901.42
410,24119.6,,,0.00001615,,,,1901.34
411,24119.6,,,0.00001615,,,,1901.33
412,24119.61,,,0.00001615,,,,1901.32
413,24119.61,,,0.00001615,,,,1901.32
414,24119.65,,,0.00001616,,,,1901.32
415,24119.65,,,0.00001614,,,,1901.31
416,24119.68,,,0.00001615,,,,1901.31
417,24119.69,,,0.00001613,,,,1901.31
418,24119.72,,,0.00001614,,,,1901.3
419,24119.76,,,0.00001614,,,,1901.3
420,24120.87,,,0.00001614,,,,1901.35
421,24120.88,,,0.00001614,,,,1901.39
422,24120.87,,,0.00001615,,,,1901.39
423,24120.87,,,0.00001614,,,,1901.39
424,24120.76,,,0.00001615,,,,1901.35
425,24117.57,,,0.00001615,,,,1901.29
426,24117.57,,,0.00001615,,,,1901.17
427,24120.66,,,0.00001614,,,,1901.02
428,24120.73,,,0.00001615,,,,1901.33
429,24120.42,,,0.00001615,,,,1901.3
430,24120.41,,,0.00001615,,,,1901.3
431,24120.44,,,0.00001616,,,,1901.18
432,24120.45,,,0.00001615,,,,1901.16
433,24120.52,,,0.00001615,,,,1901.15
434,24120.53,,,0.00001615,,,,1901.26
435,24120.76,,,0.00001616,,,,1901.29
436,24121.32,,,0.00001615,,,,1901.29
437,24121.66,,,0.00001615,,,,1901.14
438,24121.79,,,0.00001616,,,,1901.26
439,24121.81,,,0.00001616,,,,1901.16
440,24122.18,,,0.00001615,,,,1901.28
441,24122.39,,,0.00001615,,,,1901.29
442,24122.41,,,0.00001615,,,,1901.29
443,24123.14,,,0.00001615,,,,1901.26
444,24123.27,,,0.00001615,,,,1901.35
445,24123.81,,,0.00001615,,,,1901.36
446,24123.87,,,0.00001616,,,,1901.36
447,24124.21,,,0.00001615,,,,1901.36
448,24124.86,,,0.00001616,,,,1901.41
449,24125.2,,,0.00001615,,,,1901.44
450,24125.21,,,0.00001615,,,,1901.39
451,24122.35,,,0.00001615,,,,1901.26
452,24122.33,,,0.00001616,,,,1901.16
453,24124.67,,,0.00001616,,,,1901.15
454,24124.3,,,0.00001616,,,,1901.14
455,24124.23,,,0.00001617,,,,1901.14
456,24123.86,,,0.00001617,,,,1900.97
457,24122.38,,,0.00001616,,,,1900.97
458,24122.37,,,0.00001617,,,,1901.18
459,24122.33,,,0.00001617,,,,1901.17
460,24122.2,,,0.00001617,,,,1901.17
461,24122.05,,,0.00001616,,,,1901.18
462,24122,,,0.00001616,,,,1901.18
463,24121.9,,,0.00001615,,,,1901.21
464,24121.88,,,0.00001615,,,,1901.24
465,24121.54,,,0.00001616,,,,1901.23
466,24121.54,,,0.00001615,,,,1901.22
467,24121.41,,,0.00001616,,,,1901.38
468,24124.35,,,0.00001616,,,,1901.38
469,24124.64,,,0.00001616,,,,1901.12
470,24124.67,,,0.00001615,,,,1901.07
471,24125.21,,,0.00001616,,,,1901.07
472,24124.34,,,0.00001616,,,,1900.98
473,24124.33,,,0.00001616,,,,1901.14
474,24122.68,,,0.00001616,,,,1901.11
